ID;Venta;Campana;Edad;Masculino;Capital;Oferta;NSE;Actividad;Empleador;Jubilado;Cant_bcos;Monto_Bcos;Banc_12m;Banc_13_24;Banco_1
1;0;1;77;1;0;511100;A;Autonomo;0;1;1;61000;8;4;Bco Nacion
2;1;1;78;1;0;77100;A;Monotributo D;1;1;0;0;0;0;0
3;0;1;76;1;0;63600;C3;Autonomo;0;1;1;36000;10;12;Naranja
4;0;1;81;1;1;34300;D1;Informal;0;0;1;89000;10;12;Naranja
8;0;1;72;1;0;108100;C2;Autonomo;0;1;0;0;0;2;0
9;1;1;72;1;0;50000;D1;Monotributo B;0;1;1;5000;11;5;Bco Macro
10;1;1;72;1;0;63600;C3;Empleado;0;1;1;83000;10;12;Naranja
11;1;1;72;1;0;285100;B;Monotributo H;0;0;1;35000;10;12;Naranja
14;0;1;72;1;0;213000;C1;Autonomo;0;0;1;26862;11;12;Bco Galicia
15;0;1;72;1;0;213000;C1;Empleado;0;0;1;101000;11;12;Bco Macro
16;1;1;70;0;1;89100;C2;Empleado;0;0;1;6000;11;12;Retail
17;0;1;72;1;1;213000;C1;Autonomo;0;0;1;127000;11;12;Bco Santander Rio
18;0;1;72;1;0;213000;C1;Autonomo;1;0;1;79216;11;12;Bco Galicia
19;0;1;72;1;0;63600;C3;Autonomo;1;1;1;2000;10;12;Naranja
20;0;1;72;1;0;213000;C1;Autonomo;0;1;1;30000;11;12;Bco Macro
21;0;1;75;1;0;511100;A;Empleado;0;0;1;21000;11;12;Bco Santander Rio
22;0;1;72;1;1;34300;D1;Informal;0;0;1;32000;10;12;Naranja
23;0;1;72;1;0;108100;C2;Autonomo;0;1;0;0;0;5;0
24;0;1;72;1;0;108100;C2;Autonomo;0;1;0;0;0;8;0
26;0;1;72;1;0;34300;D1;Informal;0;0;1;3000;10;12;Naranja
29;0;1;71;1;0;213000;C1;Empleado;0;0;1;16000;11;9;Bco Macro
31;1;1;73;1;1;108100;C2;Autonomo;1;1;0;0;10;11;0
33;0;1;80;1;0;108100;C2;Autonomo;0;1;0;0;0;3;0
34;0;1;76;1;0;108100;C2;Autonomo;0;1;0;0;0;6;0
35;0;1;74;1;0;213000;C1;Autonomo;0;1;1;19000;10;12;Naranja
36;0;1;76;1;0;34300;D1;Informal;0;0;1;2000;10;12;Naranja
37;0;1;73;1;0;34300;D1;Informal;0;0;1;35000;10;12;Naranja
38;0;1;75;1;1;213000;C1;Empleado;0;1;1;7000;10;12;Naranja
39;0;1;81;1;0;108100;C2;Autonomo;0;1;0;0;0;1;0
42;0;1;78;1;0;34300;D1;Informal;0;0;1;7000;10;4;Naranja
45;1;1;77;1;0;77100;C2;Monotributo D;0;1;0;0;0;0;0
47;1;1;81;1;0;213000;B;Monotributo H;0;1;0;0;0;0;0
48;1;1;81;1;0;108100;C2;Autonomo;0;1;0;0;0;0;0
49;1;1;81;1;0;34300;D1;Informal;0;0;1;33000;10;11;Naranja
50;1;1;80;1;0;213000;C1;Autonomo;0;1;0;0;0;0;0
52;1;1;79;1;0;103000;C3;Monotributo C;0;1;1;3000;11;12;Bco Macro
54;0;1;78;1;0;329900;B;Autonomo;0;1;1;168000;11;12;Bco Macro
56;0;1;78;1;1;108100;C2;Autonomo;0;1;1;7000;10;12;Naranja
57;1;1;78;1;0;63600;C3;Autonomo;0;1;0;0;0;1;0
59;1;1;77;1;0;167100;C1;Monotributo F;0;1;0;0;1;6;0
60;1;1;77;1;0;77100;C2;Monotributo D;0;0;0;0;0;0;0
61;1;1;77;1;0;50000;C3;Monotributo C;0;1;0;0;0;0;0
62;0;1;76;1;0;213000;C1;Autonomo;0;1;1;192000;11;12;Bco Macro
66;0;1;75;1;0;213000;C1;Autonomo;0;1;0;0;0;1;0
70;0;1;74;1;0;213000;C1;Autonomo;0;1;1;15000;11;12;Bco Macro
71;1;1;74;1;0;50000;C2;Monotributo B;0;1;0;0;10;12;0
74;1;1;73;1;0;108100;C2;Autonomo;0;0;0;0;10;12;0
75;1;1;73;1;0;103000;C2;Monotributo E;0;1;0;0;0;0;0
